TIME;Value
2016M11;1.0799
2016M12;1.0543
2017M01;1.0614
2017M02;1.0643
2017M03;1.0685
2017M04;1.0723
2017M05;1.1058
2017M06;1.1229
2017M07;1.1511
2017M08;1.1807
2017M09;1.1915
2017M10;1.1756
2017M11;1.1738
2017M12;1.1836
2018M01;1.22
2018M02;1.2348
2018M03;1.2336
2018M04;1.2276
2018M05;1.1812
2018M06;1.1678
2018M07;1.1686
2018M08;1.1549
2018M09;1.1659
2018M10;1.1484
2018M11;1.1367
2018M12;1.1384
2019M01;1.1416
2019M02;1.1351
2019M03;1.1302
